代號, 名稱, y18, y17, y16, y15, y14
6613, 朋億,15,10,6, nan, nan
6615, 慧智,2,2,2, nan, nan
6616, 特昇-KY,0.8,1, nan, nan, nan
6624, 萬年清,2.22,2.25,0.55, nan, nan
6625, 必應,1.5,0.5,1.3, nan, nan
6629, 泰金-KY,0, nan, nan, nan, nan
6640, 均華,3,3, nan, nan, nan
6641, 基士德-KY,3.8, nan, nan, nan, nan
6642, 富致,0,1.7, nan, nan, nan
6643, M31,7,4.5, nan, nan, nan
6649, 台生材,0, nan, nan, nan, nan
6654, 天正國際,5.5,1, nan, nan, nan
6655, 科定,2,1.6, nan, nan, nan
6662, 樂斯科,1.85,2.35, nan, nan, nan
6664, 群翊,4,4, nan, nan, nan
6666, 羅麗芬-KY,7, nan, nan, nan, nan
6667, 信紘科,2.8,3, nan, nan, nan
6668, 中揚光,1,2, nan, nan, nan
6669, 緯穎,16,6.05, nan, nan, nan
6670, 復盛應用,11,9, nan, nan, nan
6671, 三能-KY,3, nan, nan, nan, nan
6672, 騰輝電子-KY,3.35,1, nan, nan, nan
